sample_id,genotype,block_number,replica_number,dev_stage,leaf_number,leaf_zone,dag,common_dev_stage,common_leaf_age,tissue_designation,developmental_stage_dap,dev_group,metabolite,intensity
D13B15A,B73,3,1,6,5,Along,40,V6-,adult,B73_5_6,40,4-6,acylcarnitine_12_1,16649
D13B25A,B73,3,2,6,5,Along,40,V6-,adult,B73_5_6,40,4-6,acylcarnitine_12_1,7626
D14C25A,CML312,4,2,6,5,Along,26,V6-,adult,CML312_5_6,28,4-6,acylcarnitine_12_1,17336
D13B17A,B73,3,1,6,7,Along,40,V6-,young,B73_7_6,40,4-6,acylcarnitine_12_1,47652
D13B27A,B73,3,2,6,7,Along,40,V6-,young,B73_7_6,40,4-6,acylcarnitine_12_1,113435
D14C27A,CML312,4,2,6,7,Along,26,V6-,young,CML312_7_6,28,4-6,acylcarnitine_12_1,79840
D14P24A,PT,4,2,5,4,Along,27,V6-,adult,PT_4_5,28,4-6,acylcarnitine_12_1,6185
D14C14A,CML312,4,1,5,4,Along,26,V6-,adult,CML312_4_5,28,4-6,acylcarnitine_12_1,7100
D14C15A,CML312,4,1,5,5,Along,26,V6-,young,CML312_5_5,28,4-6,acylcarnitine_12_1,6765
D14P25A,PT,4,2,5,5,Along,27,V6-,young,PT_5_5,28,4-6,acylcarnitine_12_1,6848
D14P27A,PT,4,2,5,7,Along,27,V6-,young,PT_7_5,28,4-6,acylcarnitine_12_1,32900
D14C17A,CML312,4,1,5,7,Along,26,V6-,young,CML312_7_5,28,4-6,acylcarnitine_12_1,77867
D14B14A,B73,4,1,4,4,Along,27,V6-,young,B73_4_4,28,4-6,acylcarnitine_12_1,3995
D14B24A,B73,4,2,4,4,Along,28,V6-,young,B73_4_4,28,4-6,acylcarnitine_12_1,12071
D14P14A,PT,4,1,4,4,Along,28,V6-,young,PT_4_4,28,4-6,acylcarnitine_12_1,7331
D14B15A,B73,4,1,4,5,Along,27,V6-,young,B73_5_4,28,4-6,acylcarnitine_12_1,41150
D14B25A,B73,4,2,4,5,Along,28,V6-,young,B73_5_4,28,4-6,acylcarnitine_12_1,46195
D14P15A,PT,4,1,4,5,Along,28,V6-,young,PT_5_4,28,4-6,acylcarnitine_12_1,2162
D11C15B,CML312,1,1,14,5,Base,57,V10+,adult,CML312_5_14,58,>9,acylcarnitine_15_3,6047
D11C15C,CML312,1,1,14,5,Center,57,V10+,adult,CML312_5_14,58,>9,acylcarnitine_15_3,3305
D11C15T,CML312,1,1,14,5,Tip,57,V10+,adult,CML312_5_14,58,>9,acylcarnitine_15_3,7409
D11C17B,CML312,1,1,14,7,Base,57,V10+,adult,CML312_7_14,58,>9,acylcarnitine_15_3,9187
D11P17B,PT,1,1,14,7,Base,57,V10+,adult,PT_7_14,58,>9,acylcarnitine_15_3,7995
D11P27B,PT,1,2,14,7,Base,57,V10+,adult,PT_7_14,58,>9,acylcarnitine_15_3,6951
D11P17C,PT,1,1,14,7,Center,57,V10+,adult,PT_7_14,58,>9,acylcarnitine_15_3,6075
D11P27C,PT,1,2,14,7,Center,57,V10+,adult,PT_7_14,58,>9,acylcarnitine_15_3,4736
D11C17C,CML312,1,1,14,7,Center,57,V10+,adult,CML312_7_14,58,>9,acylcarnitine_15_3,24330
D11C17T,CML312,1,1,14,7,Tip,57,V10+,adult,CML312_7_14,58,>9,acylcarnitine_15_3,6305
D11P17T,PT,1,1,14,7,Tip,57,V10+,adult,PT_7_14,58,>9,acylcarnitine_15_3,6787
D11P27T,PT,1,2,14,7,Tip,57,V10+,adult,PT_7_14,58,>9,acylcarnitine_15_3,6741
D11C19B,CML312,1,1,14,9,Base,57,V10+,adult,CML312_9_14,58,>9,acylcarnitine_15_3,16423
